DATETIME,gross_pnl_usd
2004-01-02 22:00:00,642.5103756215294
2004-01-05 22:00:00,3768.95215941728
2004-01-06 22:00:00,277.57698747582594
2004-01-07 22:00:00,-325.4373961409932
2004-01-08 22:00:00,1477.6132435257314
2004-01-09 22:00:00,799.3065837122921
2004-01-12 22:00:00,-78.53677128641044
2004-01-13 22:00:00,-534.2710381956891
2004-01-14 22:00:00,-471.3273867570287
2004-01-15 22:00:00,-2262.197945640781
2004-01-16 22:00:00,5.236841726936483
2004-01-19 22:00:00,47.43221767015187
2004-01-20 22:00:00,1792.193865613261
2004-01-21 22:00:00,-23.13755511479031
2004-01-22 22:00:00,555.0288183481772
2004-01-23 22:00:00,-766.291277893126
2004-01-26 22:00:00,-0.36161812688415296
2004-01-27 22:00:00,701.4880484861748
2004-01-28 22:00:00,-1215.5143361849186
2004-01-29 22:00:00,-2076.7979255743508
2004-01-30 22:00:00,442.0574302532049
2004-02-02 22:00:00,-606.7183776729042
2004-02-03 22:00:00,743.2059048292615
2004-02-04 22:00:00,-605.863692956531
2004-02-05 22:00:00,-169.5787449854031
2004-02-06 22:00:00,1560.1524813264175
2004-02-09 22:00:00,474.10510526174687
2004-02-10 22:00:00,299.5652956653151
2004-02-11 22:00:00,1406.868424366235
2004-02-12 22:00:00,470.0002504361585
2004-02-13 22:00:00,-159.791837983648
2004-02-16 22:00:00,41.47856068816636
2004-02-17 22:00:00,1774.0234287308147
2004-02-18 22:00:00,-759.8649644300127
2004-02-19 22:00:00,-350.5217670797754
2004-02-20 22:00:00,-2155.613108969022
2004-02-23 22:00:00,-283.6235491931412
2004-02-24 22:00:00,518.7107009392129
2004-02-25 22:00:00,-832.6484932282254
2004-02-26 22:00:00,653.588086274679
2004-02-27 22:00:00,563.5384513917941
2004-03-01 22:00:00,1401.4261830514279
2004-03-02 22:00:00,-1547.6044867663893
2004-03-03 22:00:00,-1345.3134737383755
2004-03-04 22:00:00,481.9610424507217
2004-03-05 22:00:00,843.2349670940549
2004-03-08 22:00:00,-681.3023094304164
2004-03-09 22:00:00,-219.0140825883591
2004-03-10 22:00:00,-938.2176081691148
2004-03-11 22:00:00,-478.44789548447204
2004-03-12 22:00:00,-390.27553361114565
2004-03-15 22:00:00,331.7667313540267
2004-03-16 22:00:00,272.8556066672332
2004-03-17 22:00:00,646.0681013229372
2004-03-18 22:00:00,375.9768187253648
2004-03-19 22:00:00,-90.9495387780448
2004-03-22 22:00:00,-660.3260524148739
2004-03-23 22:00:00,184.97522126703834
2004-03-24 22:00:00,-126.53277860590248
2004-03-25 22:00:00,-277.4981880024917
2004-03-26 22:00:00,526.2359765286332
2004-03-29 22:00:00,-98.31467181444
2004-03-30 22:00:00,507.50958556917465
2004-03-31 22:00:00,646.4542681318483
2004-04-01 22:00:00,240.186020084243
2004-04-02 22:00:00,-185.30144471978141
2004-04-05 22:00:00,-297.4788957405425
2004-04-06 22:00:00,541.9545802375598
