DATETIME,net_pnl_usd
2002-01-02 22:00:00,-213.1566069658881
2002-01-03 22:00:00,138.65326973316198
2002-01-04 22:00:00,-625.4981027295414
2002-01-07 22:00:00,-127.40351276298475
2002-01-08 22:00:00,497.88345820594583
2002-01-09 22:00:00,408.1050947615264
2002-01-10 22:00:00,-16.346927518956633
2002-01-11 22:00:00,-78.84015980714771
2002-01-14 22:00:00,-764.6812821422039
2002-01-15 22:00:00,-213.0099790433111
2002-01-16 22:00:00,309.98505303376965
2002-01-17 22:00:00,613.919125434551
2002-01-18 22:00:00,-174.48730914313094
2002-01-21 22:00:00,137.0965653021058
2002-01-22 22:00:00,519.4247713592624
2002-01-23 22:00:00,40.29515649739696
2002-01-24 22:00:00,73.42842210573855
2002-01-25 22:00:00,-79.42320323081589
2002-01-28 22:00:00,110.31061980135604
2002-01-29 22:00:00,-802.0091980523096
2002-01-30 22:00:00,-147.50854024766753
2002-01-31 22:00:00,429.68972522038587
2002-02-01 22:00:00,-592.6979192380936
2002-02-04 22:00:00,68.32747134496725
2002-02-05 22:00:00,1538.919496429857
2002-02-06 22:00:00,76.94345493729787
2002-02-07 22:00:00,141.53003272267733
2002-02-08 22:00:00,-740.0752140130196
2002-02-11 22:00:00,-1937.651662933788
2002-02-12 22:00:00,-238.67710702896517
2002-02-13 22:00:00,63.736874458111004
2002-02-14 22:00:00,-310.07087099207484
2002-02-15 22:00:00,-18.88808763910334
2002-02-18 22:00:00,-17.190697443724027
2002-02-19 22:00:00,-460.05627252692534
2002-02-20 22:00:00,-32.59569899367072
2002-02-21 22:00:00,-140.32438462952615
2002-02-22 22:00:00,-337.6231579090098
2002-02-25 22:00:00,-25.844313099009128
2002-02-26 22:00:00,400.28521315300407
2002-02-27 22:00:00,-559.8000635772457
2002-02-28 22:00:00,96.93652588955908
2002-03-01 22:00:00,-675.439774903946
2002-03-04 22:00:00,-1271.678408402993
2002-03-05 22:00:00,-469.0169492129051
2002-03-06 22:00:00,-575.9713903878028
2002-03-07 22:00:00,-676.6816424740284
2002-03-08 22:00:00,8.242710215426676
2002-03-11 22:00:00,-86.623229900742
2002-03-12 22:00:00,-46.824771514452756
2002-03-13 22:00:00,-96.03072522165576
2002-03-14 22:00:00,-46.85667406702096
2002-03-15 22:00:00,50.72936475247141
2002-03-18 22:00:00,459.8778823622239
2002-03-19 22:00:00,230.21228082724684
2002-03-20 22:00:00,-334.8843679665975
2002-03-21 22:00:00,277.0696911137169
2002-03-22 22:00:00,-117.13591135762701
2002-03-25 22:00:00,-179.92470081173326
2002-03-26 22:00:00,-2.4258867148266745
2002-03-27 22:00:00,477.8608166722439
2002-03-28 22:00:00,318.29168355659976
2002-03-29 22:00:00,-107.80880386202963
2002-04-01 22:00:00,560.4530051278488
2002-04-02 22:00:00,680.3704253629327
2002-04-03 22:00:00,-1313.156338422698
2002-04-04 22:00:00,-761.6269538167131
2002-04-05 22:00:00,-487.14331878318546
2002-04-08 22:00:00,-4.6834037828015695
2002-04-09 22:00:00,-384.6317891584655
2002-04-10 22:00:00,210.8323509369232
2002-04-11 22:00:00,-139.352916870939
2002-04-12 22:00:00,-470.1816266802641
2002-04-15 22:00:00,-213.7809896588636
2002-04-16 22:00:00,-756.7693260342162
2002-04-17 22:00:00,540.4105819069417
2002-04-18 22:00:00,158.20495859550263
2002-04-19 22:00:00,44.772515309870165
2002-04-22 22:00:00,382.66124347269727
2002-04-23 22:00:00,177.09340204619775
2002-04-24 22:00:00,151.54183057923586
2002-04-25 22:00:00,513.6540745718912
2002-04-26 22:00:00,997.6202085394522
2002-04-29 22:00:00,52.85898055944979
2002-04-30 22:00:00,-837.0935194085382
2002-05-01 22:00:00,32.79361756378305
2002-05-02 22:00:00,57.09508891581319
2002-05-03 22:00:00,1162.6217888193232
2002-05-06 22:00:00,-4.0622084185581
2002-05-07 22:00:00,167.60920534709194
2002-05-08 22:00:00,-2262.231429209229
2002-05-09 22:00:00,557.7458384147791
2002-05-10 22:00:00,907.8369057082716
2002-05-13 22:00:00,-515.4065412449995
2002-05-14 22:00:00,-520.2278360726611
2002-05-15 22:00:00,-49.992852968231546
2002-05-16 22:00:00,-4.575785833712203
2002-05-17 22:00:00,917.9882636301496
