DATETIME,net_pnl_usd
2007-01-02 22:00:00,1217.6768660796681
2007-01-03 22:00:00,984.4573297949256
2007-01-04 22:00:00,-364.49796865701893
2007-01-05 22:00:00,-1814.199024009722
2007-01-08 22:00:00,1.8523170560645497
2007-01-09 22:00:00,243.57458259788663
2007-01-10 22:00:00,-1342.6415369342844
2007-01-11 22:00:00,1420.8577499215012
2007-01-12 22:00:00,620.5572362926168
2007-01-15 22:00:00,705.6744712783327
2007-01-16 22:00:00,894.5201578498815
2007-01-17 22:00:00,-232.71728535368408
2007-01-18 22:00:00,654.7954516522775
2007-01-19 22:00:00,-399.9479673891518
2007-01-22 22:00:00,626.8549685047975
2007-01-23 22:00:00,-532.8706024426007
2007-01-24 22:00:00,-171.33647078544286
2007-01-25 22:00:00,-930.4187816370435
2007-01-26 22:00:00,-1215.022637018981
2007-01-29 22:00:00,840.8645656884191
2007-01-30 22:00:00,57.497780493782436
2007-01-31 22:00:00,-956.069491281095
2007-02-01 22:00:00,1761.681864713117
2007-02-02 22:00:00,679.512000342729
2007-02-05 22:00:00,-1080.1494157002683
2007-02-06 22:00:00,66.89093742835087
2007-02-07 22:00:00,721.4717316302858
2007-02-08 22:00:00,244.31816841538452
2007-02-09 22:00:00,-1171.3690612830069
2007-02-12 22:00:00,-442.81609402347385
2007-02-13 22:00:00,-581.4469240192323
2007-02-14 22:00:00,938.4684601517702
2007-02-15 22:00:00,111.62494029643915
2007-02-16 22:00:00,70.88347937868562
2007-02-19 22:00:00,223.65104766285043
2007-02-20 22:00:00,44.486168870426106
2007-02-21 22:00:00,1076.4815515332557
2007-02-22 22:00:00,495.57656524595075
2007-02-23 22:00:00,109.42044720593778
2007-02-26 22:00:00,-247.73413443896777
2007-02-27 22:00:00,-5296.296189085462
2007-02-28 22:00:00,-2774.1555418253997
2007-03-01 22:00:00,-1437.581442964602
2007-03-02 22:00:00,-1514.0961730599408
2007-03-05 22:00:00,-2046.3760430735324
2007-03-06 22:00:00,497.67017086495673
2007-03-07 22:00:00,199.99242725301573
2007-03-08 22:00:00,-61.12239164902509
2007-03-09 22:00:00,-392.9304621468404
2007-03-12 22:00:00,205.46776311292152
2007-03-13 22:00:00,-19.002022716691354
2007-03-14 22:00:00,-195.2759500829269
2007-03-15 22:00:00,72.22415674248698
2007-03-16 22:00:00,436.8699606652807
2007-03-19 22:00:00,31.88638935917305
2007-03-20 22:00:00,-206.83340860947095
2007-03-21 22:00:00,59.935549169173534
2007-03-22 22:00:00,-265.3731525788104
2007-03-23 22:00:00,-296.93816936632913
2007-03-26 22:00:00,568.353236126898
2007-03-27 22:00:00,-387.68845780355076
2007-03-28 22:00:00,-164.83175913853734
2007-03-29 22:00:00,62.933182152251014
2007-03-30 22:00:00,418.82945277317987
2007-04-02 22:00:00,477.28651310531944
2007-04-03 22:00:00,-135.73658965946473
2007-04-04 22:00:00,1140.5052449840216
2007-04-05 22:00:00,438.4337536360562
2007-04-06 22:00:00,14.072113679475974
2007-04-09 22:00:00,-482.7002290326149
2007-04-10 22:00:00,1503.3894212022508
2007-04-11 22:00:00,36.28295648899555
2007-04-12 22:00:00,541.5407967713539
2007-04-13 22:00:00,797.3110636656409
2007-04-16 22:00:00,966.5805413215102
2007-04-17 22:00:00,781.6598437557556
2007-04-18 22:00:00,273.8886640738653
2007-04-19 22:00:00,-1445.1520419996093
2007-04-20 22:00:00,1657.6898223517776
2007-04-23 22:00:00,-135.56596388905763
2007-04-24 22:00:00,-927.1558067095707
2007-04-25 22:00:00,1650.33163776561
2007-04-26 22:00:00,-2330.9919980165537
2007-04-27 22:00:00,1367.5604510738115
2007-04-30 22:00:00,-571.312912624124
2007-05-01 22:00:00,-556.1876158007176
2007-05-02 22:00:00,414.8575676873964
2007-05-03 22:00:00,1073.6473883432452
2007-05-04 22:00:00,646.0919430993221
2007-05-07 22:00:00,634.4388719419394
2007-05-08 22:00:00,-705.2677380495941
2007-05-09 22:00:00,-19.388733619264777
2007-05-10 22:00:00,-3655.818329822143
2007-05-11 22:00:00,1490.779084417699
2007-05-14 22:00:00,329.3941578520509
2007-05-15 22:00:00,615.9460393739067
2007-05-16 22:00:00,-1165.4032053381206
2007-05-17 22:00:00,-242.34035390179096
2007-05-18 22:00:00,1092.6926640581937
2007-05-21 22:00:00,718.3982194023966
2007-05-22 22:00:00,-498.23907607391226
2007-05-23 22:00:00,149.5289219483493
2007-05-24 22:00:00,-1942.8431752666484
2007-05-25 22:00:00,852.6365719233626
2007-05-28 22:00:00,-16.93968225940322
2007-05-29 22:00:00,469.1376493885375
2007-05-30 22:00:00,623.7965597194991
2007-05-31 22:00:00,1488.3283943420831
2007-06-01 22:00:00,1479.6592296175397
2007-06-04 22:00:00,784.2843166776019
2007-06-05 22:00:00,-502.8115946515507
2007-06-06 22:00:00,-578.8421333280627
2007-06-07 22:00:00,-2635.8152733798283
2007-06-08 22:00:00,-417.0597330570756
2007-06-11 22:00:00,501.67411308118955
2007-06-12 22:00:00,-1626.8337340107569
2007-06-13 22:00:00,905.095373354609
2007-06-14 22:00:00,503.4055769352203
2007-06-15 22:00:00,1424.7615167682732
2007-06-18 22:00:00,879.2591034121524
2007-06-19 22:00:00,813.0338628891357
2007-06-20 22:00:00,-1219.499010102882
2007-06-21 22:00:00,575.7741705866896
2007-06-22 22:00:00,145.30465726524514
2007-06-25 22:00:00,-935.5211261306827
2007-06-26 22:00:00,-957.2365020567009
