DATETIME,gross_pnl_usd
2003-01-02 22:00:00,-754.3031011276641
2003-01-03 22:00:00,888.3259317044306
2003-01-06 22:00:00,-210.150160477582
2003-01-07 22:00:00,-911.029133036941
2003-01-08 22:00:00,888.655273958997
2003-01-09 22:00:00,462.1437025448373
2003-01-10 22:00:00,404.7614661872759
2003-01-13 22:00:00,259.5004667917429
2003-01-14 22:00:00,-147.45834116783158
2003-01-15 22:00:00,451.01526095462253
2003-01-16 22:00:00,1222.6557374968017
2003-01-17 22:00:00,87.38625425628499
2003-01-20 22:00:00,145.4611305037787
2003-01-21 22:00:00,46.52561385414833
2003-01-22 22:00:00,80.57384462008719
2003-01-23 22:00:00,78.43557922602724
2003-01-24 22:00:00,1613.2229087965093
2003-01-27 22:00:00,-548.3846879672583
2003-01-28 22:00:00,-374.1803816594988
2003-01-29 22:00:00,871.5085776160711
2003-01-30 22:00:00,351.59815796044074
2003-01-31 22:00:00,-572.7677825455609
2003-02-03 22:00:00,-270.0967621512564
2003-02-04 22:00:00,1986.6713450275513
2003-02-05 22:00:00,-1036.3204411389845
2003-02-06 22:00:00,-73.38163695451661
2003-02-07 22:00:00,525.9026002103553
2003-02-10 22:00:00,-1759.5143500041404
2003-02-11 22:00:00,466.0011209704329
2003-02-12 22:00:00,-935.0570087603717
2003-02-13 22:00:00,1249.609650485408
2003-02-14 22:00:00,-1017.0943116910075
2003-02-17 22:00:00,-376.4053958192902
2003-02-18 22:00:00,-620.9308511390846
2003-02-19 22:00:00,938.3794922249806
2003-02-20 22:00:00,926.4570626270413
2003-02-21 22:00:00,101.66713170134665
2003-02-24 22:00:00,4848.587516828293
2003-02-25 22:00:00,98.00999759633578
2003-02-26 22:00:00,1193.5223757056444
2003-02-27 22:00:00,-1605.1309340319008
2003-02-28 22:00:00,75.71407821090345
2003-03-03 22:00:00,147.35168190043095
2003-03-04 22:00:00,917.2327311303507
2003-03-05 22:00:00,465.31786472021986
2003-03-06 22:00:00,569.3187719447427
2003-03-07 22:00:00,932.3215873732701
2003-03-10 22:00:00,788.960844002874
